Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5",0603,4,1uF,
C3,0603,1,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D59, D6, D61, D63, D65, D67, D69, D7, D71, D73, D75, D77, D79, D8, D81, D83, D9",D_SOD-523,70,D_45deg,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"Q1, Q2, Q3, Q5",SOT-23,4,BSS84,
"R1, R2",0603,2,5.1k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R33, R34, R5, R6, R7, R8, R9",1206,16,100k,
"R19, R20, R21, R22, R23, R24, R25, R3, R4",0805,9,10k,
"R26, R31",1206,2,1M,
"R27, R28, R29",0402,3,47k,
"SW1, SW2, SW3, SW4",SW_PUSH_6mm,4,SW_Push,
"SW10(8)1, SW11(9)1, SW12(0)1, SW13(-)1, SW14(=)1, SW15(BCKSPC)1, SW16(TAB)1, SW17(Q)1, SW18(W)1, SW19(E)1, SW2(ESC)1, SW20(R)1, SW21(T)1, SW22(Y)1, SW23(U)1, SW24(I)1, SW25(O)1, SW26(P)1, SW27([)1, SW28(])1, SW29(\)1, SW3(1)1, SW30(CAPS)1, SW31(UNUSED)1, SW32(A)1, SW33(LSHIFT)1, SW34(S)1, SW35(Z)1, SW36(D)1, SW37(X)1, SW38(F)1, SW39(C)1, SW4(2)1, SW40(G)1, SW41(V)1, SW42(H)1, SW43(B)1, SW44(J)1, SW45(N)1, SW46(K)1, SW47(M)1, SW48(L)1, SW49(,)1, SW5(3)1, SW50(;)1, SW51(.)1, SW52(')1, SW53(/)1, SW54(RET)1, SW55(RSHIFT)1, SW56(UNUSED)1, SW57(UP)1, SW58(GLOBE)1, SW6(4)1, SW60(LCTRL)1, SW62(SUPER)1, SW64(LALT)1, SW66(SPC)1, SW68(SPC)1, SW7(5)1, SW70(SPC)1, SW72(SPC)1, SW74(SPC)1, SW76(RALT)1, SW78(RCTRL)1, SW8(6)1, SW80(LEFT)1, SW82(DOWN)1, SW84(RIGHT)1, SW9(7)1",Cherry_ULP_TH,70,SW_Push_45deg,
SW5,SW-TH_RS601A-1020013BB,1,RS601A-1020013BB,C5124216
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U2,SOT-23-5,1,AP2112K-3.3,
U3,QFN50P500X500X60-33N,1,TCA6424ARGJR,
U4,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,
U6,BH-AAA-B5AA005,1,BH-AAA-B5AA005,C2979170
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
