Designator,Mid X,Mid Y,Rotation,Layer
C1,321.82,-44.8225,180.0,top
C10,350.48177,-144.14752,0.0,top
C11,337.92177,-148.19427,270.0,top
C12,336.4025,-130.7225,0.0,top
C13,338.61,-134.815,90.0,top
C14,346.60177,-145.69752,90.0,top
C15,348.10177,-145.69752,90.0,top
C16,350.60177,-139.19752,90.0,top
C17,352.10177,-139.19752,90.0,top
C2,321.8225,-46.2825,180.0,top
C3,342.79,-46.1325,180.0,top
C4,340.25,-68.9425,270.0,top
C5,348.12,-67.0,90.0,top
C8,342.96427,-152.19752,0.0,top
C9,348.33927,-142.68752,0.0,top
D1,52.3725,-71.0125,0.0,top
D10,223.8225,-71.0225,0.0,top
D11,242.8725,-71.0225,0.0,top
D12,261.9225,-71.0225,0.0,top
D13,280.9725,-71.0225,0.0,top
D14,300.0225,-71.0225,0.0,top
D15,61.8975,-90.0725,0.0,top
D16,80.9475,-90.0725,0.0,top
D17,99.9975,-90.0725,0.0,top
D18,119.0475,-90.0725,0.0,top
D19,138.0975,-90.0725,0.0,top
D2,71.415,-71.0125,0.0,top
D20,157.1475,-90.0725,0.0,top
D21,176.1975,-90.0725,0.0,top
D22,195.2475,-90.0725,0.0,top
D23,214.2975,-90.0725,0.0,top
D24,233.3475,-90.0725,0.0,top
D25,252.3975,-90.0725,0.0,top
D26,271.4475,-90.0725,0.0,top
D27,290.4975,-90.0725,0.0,top
D28,309.5475,-90.0725,0.0,top
D29,66.66,-109.1225,0.0,top
D3,90.4725,-71.0125,0.0,top
D30,57.135,-128.1725,0.0,top
D31,85.71,-109.1225,0.0,top
D32,76.185,-128.1725,0.0,top
D33,104.76,-109.1225,0.0,top
D34,95.235,-128.1725,0.0,top
D35,123.81,-109.1225,0.0,top
D36,114.285,-128.1725,0.0,top
D37,142.86,-109.1225,0.0,top
D38,133.335,-128.1725,0.0,top
D39,161.91,-109.1225,0.0,top
D4,109.5225,-71.0125,0.0,top
D40,152.385,-128.1725,0.0,top
D41,180.96,-109.1225,0.0,top
D42,171.435,-128.1725,0.0,top
D43,200.01,-109.1225,0.0,top
D44,190.485,-128.1725,0.0,top
D45,219.06,-109.1225,0.0,top
D46,209.535,-128.1725,0.0,top
D47,238.11,-109.1225,0.0,top
D48,228.585,-128.1725,0.0,top
D49,257.16,-109.1225,0.0,top
D5,128.5725,-71.0225,0.0,top
D50,247.635,-128.1725,0.0,top
D51,276.21,-109.1225,0.0,top
D52,266.685,-128.1725,0.0,top
D53,295.26,-109.1225,0.0,top
D54,285.735,-128.1725,0.0,top
D55,314.31,-109.1225,0.0,top
D56,304.785,-128.1725,0.0,top
D57,52.3725,-147.2225,0.0,top
D59,71.4225,-147.2225,0.0,top
D6,147.6225,-71.0225,0.0,top
D61,90.4725,-147.2225,0.0,top
D63,109.5225,-147.2225,0.0,top
D65,133.335,-147.2225,0.0,top
D67,152.385,-147.2225,0.0,top
D69,171.435,-147.2225,0.0,top
D7,166.6725,-71.0225,0.0,top
D71,190.485,-147.2225,0.0,top
D73,209.535,-147.2225,0.0,top
D75,233.3475,-147.2225,0.0,top
D77,257.7625,-147.2125,0.0,top
D79,285.7325,-147.2225,0.0,top
D8,185.7225,-71.0225,0.0,top
D81,304.7825,-147.2225,0.0,top
D83,323.835,-147.2225,0.0,top
D9,204.7725,-71.0225,0.0,top
J2,375.22,-49.9025,0.0,top
J4,332.47,-97.3625,90.0,top
J5,352.44,-63.7125,180.0,top
